area_name_en,property_type_en,median_price,meter_sale_price,price_per_sqm,sale_count,growth_stage,median_rent,meter_rent_price,rent_count,rental_yield,growth_stage_encoded,cluster_id,cluster_label
Muhaisanah First,Unit,1515000.0,12260.95,12192.604433872197,53,,1030904.0,8072.93,65,0.6805,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah First,Villa,2165000.0,1730.925,2081.7278902222884,100,,3240000.0,2325.0,5,1.4965,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah Fourth,Land,7380000.0,5429.42,5950.350146090739,27,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah Third,Building,2270350.0,1578.705,1552.1897491594416,24,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Muhaisanah Third,Villa,1712500.0,1333.605,1589.9886342162265,184,,3499999.5,2545.525,15,2.0438,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Hamar,Building,4400000.0,2368.06,2865.146395339284,101,,,,2,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Hamar,Land,3120300.0,2152.78,2445.6338757788644,260,,,,1,,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Hamar,Unit,1315000.0,10704.56,10811.4753321705,24,,935760.0,8892.015,5,0.7116,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Hamar,Villa,1619777.5,1399.3049999999998,1822.7359956922107,318,,3450000.0,2655.09,17,2.1299,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Shiba,Land,5183497.0,1937.55,2984.116301215797,483,Off-Plan or Launch,2673584.5,4756.200000000001,26,0.5158,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Shiba,Unit,569520.0,7536.27,7860.288368324374,612,Off-Plan or Launch,596202.0,6993.97,329,1.0468,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Shiba,Villa,913800.0,1076.39,1076.3884798869192,1,,7200000.0,6496.26,2,7.8792,,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
Nad Al Shiba First,Land,3800000.0,3875.08,5955.118771895272,335,Off-Plan or Launch,3862500.0,4182.355,5,1.0164,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Al Shiba First,Unit,1185000.0,12078.89,11862.855097585832,762,Maturity,982000.0,8909.285,117,0.8287,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Nad Al Shiba First,Villa,5550000.0,14205.0,14462.92325567597,439,Maturity,3841650.0,9171.825,86,0.6922,2.0,1,"Cluster 1: Yield 92.0%, Price AED 3084163, Stage ~ 2.54."
Nad Al Shiba Third,Land,2788000.0,5825.08,6398.505275342895,287,Off-Plan or Launch,3100000.0,6614.875,59,1.1119,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nad Shamma,Villa,2000000.0,2152.78,1953.5786277134987,13,,2959127.5,3386.895,3,1.4796,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nadd Hessa,Building,19624323.0,6869.33,11310.00668991738,38,Off-Plan or Launch,22000000.0,10484.78,2,1.1211,0.0,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Nadd Hessa,Land,10536096.5,4405.13,5814.672453235081,30,Off-Plan or Launch,1600000.0,3404.4,1,0.1519,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nadd Hessa,Unit,489173.0,8146.69,8298.919795856125,763,Off-Plan or Launch,550000.0,7193.46,862,1.1243,0.0,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Nadd Hessa,Villa,2980147.5,6724.21,7242.033888678025,474,,2051948.0,5025.799999999999,143,0.6885,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Naif,Building,4004990.0,21234.19,28291.72499709037,304,,3315000.0,27385.38,6,0.8277,,0,"Cluster 0: Yield 76.0%, Price AED 8661525, Stage ~ 0.29."
Oud Al Muteena First,Villa,1600000.0,4124.83,3681.194315721265,3,,2400000.0,3384.43,3,1.5,,2,"Cluster 2: Yield 119.0%, Price AED 3423726, Stage ~ 0.14."
Palm Jumeirah,Land,789120.0,6458.34,11974.473605517827,791,Off-Plan or Launch,3660000.0,5289.02,8,4.6381,0.0,4,"Cluster 4: Yield 521.0%, Price AED 5035274, Stage ~ 0.0."
